85360,-76.64,93
85536,-141.10,110
85648,-103.67,93
85728,-109.03,100
85728,-70.65,96
85776,-78.76,95
85920,-127.18,115
86032,-37.28,88
86128,-66.74,82
86432,-99.25,93
86432,-106.67,108
86464,-103.90,124
86560,-78.73,76
86656,-123.71,93
86672,-68.15,64
86816,-92.78,68
86832,-66.01,81
87008,-90.15,77
87120,-15.49,128
87184,-211.11,114
87232,-40.26,75
87312,-112.32,87
87968,4.28,140
87984,-77.30,97
88096,-98.42,90
88160,-63.67,61
88160,-120.19,93
88208,-51.34,68
88224,-75.47,110
88320,-110.63,94
88416,-22.74,88
88448,-74.99,145
88592,-36.26,135
88656,-56.40,89
88688,-62.56,116
88976,-191.98,151
89264,-89.18,65
89264,-173.36,66
89280,-130.49,123
89376,-137.32,87
89552,-92.16,99
89648,-124.15,93
89744,-67.26,72
90096,-122.99,88
90112,-115.12,122
90112,-25.62,126
90336,-140.16,126
90336,-107.82,120
90352,-221.83,106
90464,-65.34,75
90624,-124.68,85
90640,27.79,1000
90848,-135.45,150
90864,-81.52,70
90912,-177.69,79
91040,-101.54,104
91088,-137.43,132
91232,-185.56,122
91408,-94.05,67
91440,-92.11,84
91520,-73.92,74
91632,-98.77,130
92016,-94.80,119
92048,-57.49,121
92080,-114.54,91
92080,-189.14,108
92176,-58.43,68
92256,-85.55,64
92256,-57.65,87
92368,-118.38,108
92432,-208.61,123
92448,-140.21,88
92640,-172.60,112
92784,-161.88,117
93136,-221.86,101
93184,-82.67,63
93296,-76.54,80
93344,-232.38,121
93408,-105.05,72
93472,-118.83,64
93504,-130.27,89
93584,-100.04,134
93680,-67.77,128
93920,-92.95,104
93920,-15.50,115
94032,-99.63,87
94064,-104.70,80
94176,-119.04,109
94224,-72.81,116
94256,-193.75,138
94336,-71.22,72
94960,-120.55,91
94992,-44.08,103
95008,-133.67,117
95056,-136.64,110
95120,-131.31,90
95280,-105.56,78
95328,-78.02,109
95408,-33.24,74
95424,-131.45,122
95488,-98.98,98
95520,-43.13,74
95632,-134.75,139
95760,-168.96,99
95920,-96.37,116
96080,-422.75,135
96096,-114.82,71
96400,-78.58,80
96496,-74.36,140
96560,-133.16,58
96576,-55.46,73
96720,-106.86,107
96752,-108.27,77
96768,-89.97,93
96912,-145.86,120
97104,-220.02,111
97168,-191.08,132
97168,-80.60,68
97280,-92.79,116
97296,-256.17,113
97472,-264.81,107
97552,-119.72,102
97728,-66.37,63
97792,-66.08,106
97936,-124.15,96
98144,-82.77,87
98144,-32.83,98
98256,-65.34,68
98272,-102.94,94
98304,-87.49,109
98432,-37.62,72
98528,-66.81,127
98528,-18.57,101
98800,-80.25,78
98864,-82.84,106
99056,-67.99,70
99168,-121.96,86
99184,-76.47,91
99216,-91.35,132
99360,-37.12,118
99424,-34.38,80
99456,-128.86,75
99456,-45.67,135
99648,-33.46,70
99744,-60.45,82
99824,-97.13,95
99952,-28.73,89
100064,-140.77,120
100064,-96.30,112
100240,-80.49,86
100256,-81.30,91
100336,-97.27,73
100352,-68.22,81
100704,-81.36,84
100720,-74.66,56
100768,-85.00,82
100816,-160.30,102
101040,-120.59,99
101040,-147.92,101
101056,-73.35,115
101408,-51.36,110
101520,-107.45,98
101568,-125.65,94
101600,-119.02,96
101712,-126.65,123
101952,-110.45,101
102064,-74.63,84
102112,-70.87,88
102176,-18.08,70
102304,-183.18,128
102304,-35.60,79
102352,-48.67,125
102384,-97.14,101
102448,-57.94,102
102832,-195.41,162
102864,-206.52,114
103024,-78.84,101
103120,-107.64,100
103424,-109.64,114
103504,-68.38,121
103520,-60.58,76
103536,-73.35,72
103600,-82.37,81
103664,-117.23,122
103872,-44.03,89
104096,-17.33,134
104128,-41.15,122
104128,-67.03,111
104144,-49.14,127
104176,-51.77,82
104208,-124.50,134
104288,-96.25,91
104544,-100.45,89
104784,-207.72,110
104816,-137.88,82
104944,-38.68,88
104976,-91.65,91
105120,-97.89,95
105136,-38.66,63
105296,-87.44,75
105392,-81.78,74
105440,-90.05,111
105456,-113.41,127
105632,-99.51,93
105856,-99.56,108
105952,-58.59,104
105968,-110.29,131
106000,-82.62,91
106176,-28.13,66
106336,-79.13,135
106384,-86.95,98
106400,-17.13,79
106416,-75.08,102
106448,-84.63,72
106464,-30.38,64
106560,-83.64,69
107056,-168.70,104
107184,4.84,138
107328,-190.59,149
107360,-119.78,74
107408,-79.02,67
107536,-58.53,98
107600,-49.80,75
107616,-80.92,77
107616,-38.13,124
107712,-55.95,107
107856,-94.41,119
107952,-108.37,94
107952,-128.83,131
107984,-156.12,98
108192,-71.01,63
108240,-132.02,105
108464,-34.29,66
108608,-48.73,78
108736,-107.53,88
108784,-108.23,108
108928,-61.02,76
108944,20.72,155
109040,-79.59,74
109136,-64.81,72
109152,-111.26,101
109312,-44.78,85
109312,-99.07,106
109328,-64.57,86
109392,-105.60,111
109616,3.62,126
109696,-68.01,91
109840,-70.39,77
109904,-99.08,90
110176,-165.25,124
110192,-39.56,72
110256,-107.27,83
110384,-64.86,77
110480,-62.66,73
110512,-73.98,75
110608,-146.72,114
110688,-72.85,85
110768,-101.86,127
110784,-101.22,103
110848,-75.24,77
110864,-70.70,92
111296,-82.40,147
111312,-47.42,101
111440,-79.09,79
111440,-117.60,96
111584,-65.68,61
111632,-60.75,78
111664,-47.50,72
111680,-74.70,75
111872,-90.83,101
112000,-141.67,113
112000,-68.04,72
112016,-128.29,136
112160,-97.05,86
112288,-50.33,89
112400,-38.11,69
112608,-187.26,73
112608,-105.07,81
112656,-39.75,123
112688,-88.37,120
112768,-98.76,83
112960,-89.94,81
112960,-26.93,86
