tool_cost,algo,seed,policy,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,tool_rate
0.3,grpo,42,learned_sample,16.386667,12.141667,19.966667,2.358333,0.708681
0.3,grpo,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.3,grpo,43,always_tool,17.958333,11.958333,20.0,2.466667,1.0
0.3,grpo,43,heuristic_gain_gate,17.958333,12.738333,20.0,2.466667,0.87
0.3,grpo,43,learned_argmax,11.0525,10.0075,18.058333,2.166667,0.192893
0.3,grpo,43,learned_sample,12.6975,10.1575,17.691667,2.233333,0.478568
0.3,grpo,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.3,grpo,44,always_tool,17.958333,11.958333,20.0,2.458333,1.0
0.3,grpo,44,heuristic_gain_gate,17.958333,12.738333,20.0,2.458333,0.87
0.3,grpo,44,learned_argmax,17.958333,11.958333,20.0,2.458333,1.0
0.3,grpo,44,learned_sample,16.004167,12.019167,19.875,2.358333,0.668344
0.5,reinforce,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.5,reinforce,42,always_tool,17.958333,7.958333,20.0,2.466667,1.0
0.5,reinforce,42,heuristic_gain_gate,17.958333,9.233333,20.0,2.466667,0.8725
0.5,reinforce,42,learned_argmax,17.958333,7.958333,20.0,2.466667,1.0
0.5,reinforce,42,learned_sample,15.705,9.438333,19.866667,2.366667,0.630872
0.5,reinforce,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.5,reinforce,43,always_tool,17.958333,7.958333,20.0,2.466667,1.0
0.5,reinforce,43,heuristic_gain_gate,17.958333,9.258333,20.0,2.466667,0.87
0.5,reinforce,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
0.5,reinforce,43,learned_sample,11.295,8.028333,16.8,2.175,0.388889
0.5,reinforce,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.5,reinforce,44,always_tool,17.958333,7.958333,20.0,2.458333,1.0
0.5,reinforce,44,heuristic_gain_gate,17.958333,9.258333,20.0,2.458333,0.87
0.5,reinforce,44,learned_argmax,17.958333,7.958333,20.0,2.458333,1.0
0.5,reinforce,44,learned_sample,15.630833,9.376667,19.691667,2.391667,0.635209
0.5,grpo,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.5,grpo,42,always_tool,17.958333,7.958333,20.0,2.466667,1.0
0.5,grpo,42,heuristic_gain_gate,17.958333,9.233333,20.0,2.466667,0.8725
0.5,grpo,42,learned_argmax,17.958333,7.958333,20.0,2.466667,1.0
0.5,grpo,42,learned_sample,16.186667,9.436667,19.966667,2.366667,0.676127
0.5,grpo,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.5,grpo,43,always_tool,17.958333,7.958333,20.0,2.466667,1.0
0.5,grpo,43,heuristic_gain_gate,17.958333,9.258333,20.0,2.466667,0.87
0.5,grpo,43,learned_argmax,7.678333,6.7325,14.3,1.941667,0.132284
0.5,grpo,43,learned_sample,12.655833,8.455833,17.691667,2.225,0.4748
0.5,grpo,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.5,grpo,44,always_tool,17.958333,7.958333,20.0,2.458333,1.0
0.5,grpo,44,heuristic_gain_gate,17.958333,9.258333,20.0,2.458333,0.87
0.5,grpo,44,learned_argmax,17.958333,7.958333,20.0,2.458333,1.0
0.5,grpo,44,learned_sample,15.803333,9.361667,19.8,2.416667,0.650673
0.8,reinforce,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.8,reinforce,42,always_tool,17.958333,1.958333,20.0,2.466667,1.0
0.8,reinforce,42,heuristic_gain_gate,17.958333,3.998333,20.0,2.466667,0.8725
0.8,reinforce,42,learned_argmax,17.958333,1.958333,20.0,2.466667,1.0
0.8,reinforce,42,learned_sample,15.125833,5.719167,19.325,2.416667,0.608452
0.8,reinforce,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.8,reinforce,43,always_tool,17.958333,1.958333,20.0,2.466667,1.0
0.8,reinforce,43,heuristic_gain_gate,17.958333,4.038333,20.0,2.466667,0.87
0.8,reinforce,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
0.8,reinforce,43,learned_sample,11.278333,6.085,16.8,2.175,0.386409
0.8,reinforce,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.8,reinforce,44,always_tool,17.958333,1.958333,20.0,2.458333,1.0
0.8,reinforce,44,heuristic_gain_gate,17.958333,4.038333,20.0,2.458333,0.87
0.8,reinforce,44,learned_argmax,17.958333,1.958333,20.0,2.458333,1.0
0.8,reinforce,44,learned_sample,15.539167,5.7325,19.691667,2.408333,0.622514
0.8,grpo,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.8,grpo,42,always_tool,17.958333,1.958333,20.0,2.466667,1.0
0.8,grpo,42,heuristic_gain_gate,17.958333,3.998333,20.0,2.466667,0.8725
0.8,grpo,42,learned_argmax,17.958333,1.958333,20.0,2.466667,1.0
0.8,grpo,42,learned_sample,15.1675,5.740833,19.325,2.416667,0.609746
0.8,grpo,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.8,grpo,43,always_tool,17.958333,1.958333,20.0,2.466667,1.0
0.8,grpo,43,heuristic_gain_gate,17.958333,4.038333,20.0,2.466667,0.87
0.8,grpo,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
0.8,grpo,43,learned_sample,12.673333,6.226667,17.85,2.225,0.451447
0.8,grpo,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.8,grpo,44,always_tool,17.958333,1.958333,20.0,2.458333,1.0
0.8,grpo,44,heuristic_gain_gate,17.958333,4.038333,20.0,2.458333,0.87
0.8,grpo,44,learned_argmax,17.958333,1.958333,20.0,2.458333,1.0
0.8,grpo,44,learned_sample,15.4725,5.8525,19.691667,2.4,0.610664
